,algo-format-size-repetation,compression_ratio,compression_time,saving_size,total_power,cpu_utilization,energy_efficiency
2916,lzw-png-small-low-35,1.1204356593017764,17.0,1504.7548828125,61.59941,0.2506366666666666,97.4640833751749
2917,lzw-png-small-low-36,1.130718767133985,19.0,1850.4931640625,69.05484,0.257375,104.11828408434076
2918,lzw-png-small-low-37,1.1251420744175005,18.0,1669.8173828125,64.97804,0.2501315789473684,102.738647941265
2919,lzw-png-small-low-38,1.1375990762878532,18.0,1890.435546875,65.01343,0.2505421052631578,116.05879931734071
2920,lzw-png-small-low-39,1.1256221035472542,18.0,1679.14453125,65.63578000000001,0.2577657894736842,99.2480885183802
2921,lzw-png-small-low-40,1.1245101351762328,17.0,1599.2509765625,61.58141,0.2504166666666666,103.70597186653784
2922,lzw-png-small-low-41,1.14351022456439,19.0,2036.4560546875,68.55742,0.2518899999999999,117.92602256016411
2923,lzw-png-small-low-42,1.141191402438554,19.0,2000.9755859375,71.23553999999999,0.281421,99.81333509876582
2924,lzw-png-small-low-43,1.1380344887095275,19.0,1787.15625,67.89256,0.244559,107.63578675662528
2925,lzw-png-small-low-44,1.1228792989573029,16.0,1458.9384765625,58.19613,0.2508823529411765,99.92467826646144
2926,lzw-png-small-low-45,1.1280998370008783,17.0,1606.62890625,63.31607,0.2716694444444444,93.4030012382609
2927,lzw-png-small-low-46,1.14082605617384,19.0,1927.6826171875,68.48895999999999,0.251135,112.0747338641232
2928,lzw-png-small-low-47,1.129080241919446,17.0,1654.349609375,62.53366,0.2620833333333333,100.94249650447206
2929,lzw-png-small-low-48,1.1261601121881242,17.0,1530.25390625,64.24564,0.2830583333333333,84.14801811874815
2930,lzw-png-small-low-49,1.1157918759332943,17.0,1464.673828125,61.30739,0.2470594444444444,96.7000354407935
2931,lzw-png-small-low-50,1.1354728819680628,18.0,1816.1962890625,66.20025999999999,0.2643178947368421,103.79502128596856
2932,lzw-png-small-high-1,1.1649222200675882,32.0,3725.8251953125,114.03063,0.2579772727272727,126.65417323744536
2933,lzw-png-small-high-2,1.1735280047522176,40.0,4308.21875,142.82054,0.2641421951219512,114.20083860149536
2934,lzw-png-small-high-3,1.162658603161746,33.0,3636.6162109375,112.00683999999998,0.2444527272727272,132.81833712664977
2935,lzw-png-small-high-4,1.1591546547749811,32.0,3622.9375,116.16527,0.2722433333333333,114.55849044117832
2936,lzw-png-small-high-5,1.1708889095481814,38.0,4092.802734375,136.29227000000003,0.2666223076923077,112.62974606811731
2937,lzw-png-small-high-6,1.1672247083363163,39.0,4060.1865234375,136.96382,0.25105725,118.077556627848
2938,lzw-png-small-high-7,1.1784790434558017,41.0,4492.994140625,145.60685,0.2604819047619048,118.46129790660204
2939,lzw-png-small-high-8,1.1683952832266673,38.0,3988.26171875,135.92451999999997,0.264542564102564,110.91499993104436
2940,lzw-png-small-high-9,1.165980825196522,31.0,3682.466796875,109.48195,0.250443125,134.30346001035286
2941,lzw-png-small-high-10,1.173540583128392,34.0,4072.5185546875,121.89526999999998,0.2639865714285714,126.55939277064378
2942,lzw-png-small-high-11,1.1650468783683718,33.0,3871.412109375,117.53253,0.2582785294117646,127.53312876464462
2943,lzw-png-small-high-12,1.1769072488967391,41.0,4511.70703125,145.61628999999996,0.2605314285714286,118.92435594206256
2944,lzw-png-small-high-13,1.1711816234856671,39.0,4208.3193359375,137.33959,0.25312925,121.05162077529248
2945,lzw-png-small-high-14,1.165750518895179,39.0,4115.30859375,137.14643999999998,0.25206425,119.04375401002152
2946,lzw-png-small-high-15,1.1788852153929772,41.0,4495.9423828125,139.85063,0.2481675609756097,129.5422086669579
2947,lzw-png-small-high-16,1.1840876438922905,42.0,4825.0234375,146.61266,0.2478599999999999,132.77658934644782
2948,lzw-png-small-high-17,1.181378618418108,40.0,4511.4580078125,140.55911,0.2519782926829268,127.37810739212624
2949,lzw-png-small-high-18,1.179986680436466,39.0,4424.4375,137.54021,0.2542352499999999,126.52974001904528
2950,lzw-png-small-high-19,1.195000213867894,40.0,4790.400390625,139.60782,0.2468612195121951,138.99820708791657
2951,lzw-png-small-high-20,1.1660232726112307,39.0,3946.662109375,136.09936,0.24629125,117.74023012264564
2952,lzw-png-small-high-21,1.1601860400101422,32.0,3657.2587890625,113.06037,0.2514933333333333,128.6230526919449
2953,lzw-png-small-high-22,1.146527683989853,28.0,3049.306640625,98.97707,0.2486110344827586,123.92134131188496
2954,lzw-png-small-high-23,1.155771537647346,30.0,3363.052734375,106.18461,0.2513254838709677,126.01886786880944
2955,lzw-png-small-high-24,1.1712059534721069,33.0,4038.966796875,115.67068999999998,0.2462020588235294,141.82581124352134
2956,lzw-png-small-high-25,1.1530079213139717,29.0,3265.607421875,103.42920999999998,0.25625,123.21310238629316
2957,lzw-png-small-high-26,1.159664768412672,32.0,3661.4736328125,112.91902,0.2505484848484848,129.41869906472
2958,lzw-png-small-high-27,1.1641281441131195,33.0,3839.60546875,119.33344999999998,0.2699597058823529,119.186058750264
2959,lzw-png-small-high-28,1.159857627450341,30.0,3446.068359375,108.00548999999997,0.2642790322580645,120.730041208197
2960,lzw-png-small-high-29,1.1606450036805005,32.0,3611.5830078125,113.6978,0.2557533333333333,124.20075529976818
2961,lzw-png-small-high-30,1.1427514910390084,26.0,2720.5849609375,95.18984,0.2734314814814815,104.52572309967616
2962,lzw-png-small-high-31,1.1606632023921903,29.0,3453.4677734375,102.78306999999997,0.2515,133.59673145146107
2963,lzw-png-small-high-32,1.1478411561904978,26.0,2870.423828125,95.27405,0.2741192592592593,109.90864405076518
2964,lzw-png-small-high-33,1.1657122630577583,34.0,3833.5185546875,115.48622,0.245005294117647,135.48522417199936
